id,low,high,open,close,amount,quantity,buytakeramount,buytakerquantity,tradecount,ts,weightedaverage,interval_type,starttime,closetime,dt_create_utc,ts_create_utc,ts_insert_utc,year,month,day,hour
BTC_USDT,42254.65,42274.67,42273.26,42274.13,83491.31,1.975236,40232.62,0.951832,74,1704067255,42269.03,MINUTE_1,1704067200,1704067259,2024-01-01,2024-01-01 00:00:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42274.13,42327.17,42274.13,42317.35,92652.73,2.190232,49008.08,1.158587,68,1704067320,42302.7,MINUTE_1,1704067260,1704067319,2024-01-01,2024-01-01 00:01:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42312.55,42327.65,42315.51,42323.43,123358.26,2.914797,65614.77,1.550407,94,1704067380,42321.39,MINUTE_1,1704067320,1704067379,2024-01-01,2024-01-01 00:02:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42313.29,42355.11,42323.89,42355.11,110966.77,2.620818,60453.41,1.427715,88,1704067439,42340.51,MINUTE_1,1704067380,1704067439,2024-01-01,2024-01-01 00:03:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42349.29,42368.99,42349.29,42368.99,47048.18,1.110641,24952.2,0.589032,34,1704067482,42361.29,MINUTE_1,1704067440,1704067499,2024-01-01,2024-01-01 00:04:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42369,42394.78,42369,42394.78,34658.9,0.817712,10420.38,0.24591,26,1704067560,42385.21,MINUTE_1,1704067500,1704067559,2024-01-01,2024-01-01 00:05:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42393.57,42396.36,42394.78,42396.17,89014.56,2.099655,50728.31,1.196575,76,1704067618,42394.85,MINUTE_1,1704067560,1704067619,2024-01-01,2024-01-01 00:06:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42396.36,42414.74,42396.36,42410.4,106525.88,2.511787,59078.49,1.392995,88,1704067679,42410.39,MINUTE_1,1704067620,1704067679,2024-01-01,2024-01-01 00:07:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42396.67,42410.54,42410.53,42396.67,44051.31,1.038773,23356.26,0.550773,34,1704067704,42407.06,MINUTE_1,1704067680,1704067739,2024-01-01,2024-01-01 00:08:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42396.66,42414.96,42396.66,42406.25,71852.79,1.694373,28152.34,0.663857,60,1704067799,42406.71,MINUTE_1,1704067740,1704067799,2024-01-01,2024-01-01 00:09:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42404.75,42419.72,42406.42,42419.72,87503.73,2.063195,39355.16,0.927947,72,1704067860,42411.76,MINUTE_1,1704067800,1704067859,2024-01-01,2024-01-01 00:10:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42419.72,42445.36,42419.72,42445.36,68415.04,1.612364,27989.67,0.659692,63,1704067919,42431.51,MINUTE_1,1704067860,1704067919,2024-01-01,2024-01-01 00:11:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42438.16,42445.42,42445.35,42445.42,49754.88,1.172241,23051.81,0.543106,41,1704067959,42444.24,MINUTE_1,1704067920,1704067979,2024-01-01,2024-01-01 00:12:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42445.41,42448.13,42445.41,42448.13,21744.87,0.512275,9330.68,0.219816,27,1704068039,42447.65,MINUTE_1,1704067980,1704068039,2024-01-01,2024-01-01 00:13:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42448.18,42456.71,42448.18,42456.71,69731.04,1.642483,36779.4,0.866311,63,1704068092,42454.65,MINUTE_1,1704068040,1704068099,2024-01-01,2024-01-01 00:14:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42456.78,42472.12,42456.78,42472.12,38364.06,0.903444,23466.15,0.552609,40,1704068143,42464.23,MINUTE_1,1704068100,1704068159,2024-01-01,2024-01-01 00:15:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42472.13,42530.16,42472.13,42530.16,92778.32,2.182794,49849.99,1.172892,92,1704068220,42504.39,MINUTE_1,1704068160,1704068219,2024-01-01,2024-01-01 00:16:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42507.23,42525.07,42525.07,42507.77,115337.05,2.712832,63488.56,1.493269,81,1704068279,42515.37,MINUTE_1,1704068220,1704068279,2024-01-01,2024-01-01 00:17:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42472.13,42507.28,42507.28,42486.82,133106.34,3.13276,65340.61,1.537857,100,1704068340,42488.52,MINUTE_1,1704068280,1704068339,2024-01-01,2024-01-01 00:18:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42473.99,42480.25,42479.8,42474.11,121989.92,2.871869,60346.51,1.420664,86,1704068399,42477.53,MINUTE_1,1704068340,1704068399,2024-01-01,2024-01-01 00:19:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42472.77,42476.32,42473.84,42474.53,106509.34,2.507624,51220.7,1.205919,81,1704068458,42474.2,MINUTE_1,1704068400,1704068459,2024-01-01,2024-01-01 00:20:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42472.12,42474.34,42474.11,42472.12,31370.5,0.738597,21428.85,0.504528,29,1704068517,42473.09,MINUTE_1,1704068460,1704068519,2024-01-01,2024-01-01 00:21:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42441.58,42472.12,42472.12,42469.25,85966.23,2.024867,48232.25,1.136044,81,1704068579,42455.24,MINUTE_1,1704068520,1704068579,2024-01-01,2024-01-01 00:22:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42461.67,42481.72,42462.72,42472.67,118238.79,2.784059,54646.38,1.286699,93,1704068640,42469.93,MINUTE_1,1704068580,1704068639,2024-01-01,2024-01-01 00:23:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42462.39,42487.4,42471.04,42485.77,128295.53,3.020259,56044,1.319301,99,1704068699,42478.32,MINUTE_1,1704068640,1704068699,2024-01-01,2024-01-01 00:24:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42455.07,42493.47,42470.61,42490.59,127280.19,2.996611,58424.73,1.375499,101,1704068760,42474.71,MINUTE_1,1704068700,1704068759,2024-01-01,2024-01-01 00:25:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42462.24,42500.91,42495.65,42465.37,136890.16,3.222696,60417.74,1.422359,103,1704068820,42476.91,MINUTE_1,1704068760,1704068819,2024-01-01,2024-01-01 00:26:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42426.96,42466.69,42465.63,42436.75,125590.24,2.95881,54584.85,1.285912,95,1704068879,42446.2,MINUTE_1,1704068820,1704068879,2024-01-01,2024-01-01 00:27:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42413.8,42437.39,42437.39,42421.05,122976.77,2.898667,66526.01,1.568088,83,1704068940,42425.28,MINUTE_1,1704068880,1704068939,2024-01-01,2024-01-01 00:28:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42419.37,42433.19,42419.6,42425.98,121614.86,2.866677,73593.3,1.734731,85,1704069000,42423.63,MINUTE_1,1704068940,1704068999,2024-01-01,2024-01-01 00:29:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42420.31,42423.18,42422.93,42420.38,106255.27,2.504708,41890.59,0.987466,79,1704069053,42422.22,MINUTE_1,1704069000,1704069059,2024-01-01,2024-01-01 00:30:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42373.47,42420.31,42420.31,42374.22,54154.83,1.277347,27103.22,0.639299,43,1704069120,42396.34,MINUTE_1,1704069060,1704069119,2024-01-01,2024-01-01 00:31:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42372.58,42408.48,42372.58,42378.56,115057.15,2.714075,56650.8,1.336361,90,1704069179,42392.76,MINUTE_1,1704069120,1704069179,2024-01-01,2024-01-01 00:32:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42356.11,42393.7,42375.27,42376.08,138093.12,3.258696,52725.52,1.244203,98,1704069240,42376.8,MINUTE_1,1704069180,1704069239,2024-01-01,2024-01-01 00:33:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42349.65,42377.02,42375.64,42358.87,109327.66,2.580738,58023.6,1.369675,78,1704069300,42362.94,MINUTE_1,1704069240,1704069299,2024-01-01,2024-01-01 00:34:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42352.46,42363.12,42357.36,42362.95,119469.24,2.820372,59362.11,1.401381,82,1704069360,42359.39,MINUTE_1,1704069300,1704069359,2024-01-01,2024-01-01 00:35:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42362.66,42393.02,42362.66,42378.99,131309.45,3.09901,56700.35,1.338153,97,1704069420,42371.42,MINUTE_1,1704069360,1704069419,2024-01-01,2024-01-01 00:36:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42362.6,42421.34,42362.6,42404.4,117971.89,2.782701,72835,1.71796,99,1704069479,42394.74,MINUTE_1,1704069420,1704069479,2024-01-01,2024-01-01 00:37:59.999,2024-01-07 01:44:19.000,2024,1,1,0
BTC_USDT,42403.91,42425.69,42404.29,42425.68,76018.11,1.792216,42490.07,1.00177,55,1704069524,42415.71,MINUTE_1,1704069480,1704069539,2024-01-01,2024-01-01 00:38:59.999,2024-01-07 01:44:19.000,2024,1,1,0
